epoch 0/600,training accuracy:0.514237,validation accuracy:0.539457
epoch 1/600,training accuracy:0.540293,validation accuracy:0.539483
epoch 2/600,training accuracy:0.540301,validation accuracy:0.539512
epoch 3/600,training accuracy:0.540253,validation accuracy:0.539508
epoch 4/600,training accuracy:0.540272,validation accuracy:0.539518
epoch 5/600,training accuracy:0.540383,validation accuracy:0.539601
epoch 6/600,training accuracy:0.540567,validation accuracy:0.539988
epoch 7/600,training accuracy:0.541117,validation accuracy:0.540759
epoch 8/600,training accuracy:0.542157,validation accuracy:0.542765
epoch 9/600,training accuracy:0.545411,validation accuracy:0.546433
epoch 10/600,training accuracy:0.549905,validation accuracy:0.552125
epoch 11/600,training accuracy:0.555427,validation accuracy:0.558289
epoch 12/600,training accuracy:0.562229,validation accuracy:0.565183
epoch 13/600,training accuracy:0.569019,validation accuracy:0.572071
epoch 14/600,training accuracy:0.575037,validation accuracy:0.577346
epoch 15/600,training accuracy:0.579857,validation accuracy:0.582345
epoch 16/600,training accuracy:0.585073,validation accuracy:0.585548
epoch 17/600,training accuracy:0.588230,validation accuracy:0.588775
epoch 18/600,training accuracy:0.592021,validation accuracy:0.592533
epoch 19/600,training accuracy:0.594121,validation accuracy:0.594729
epoch 20/600,training accuracy:0.596516,validation accuracy:0.597858
epoch 21/600,training accuracy:0.599152,validation accuracy:0.599739
epoch 22/600,training accuracy:0.601011,validation accuracy:0.601979
epoch 23/600,training accuracy:0.604668,validation accuracy:0.604842
epoch 24/600,training accuracy:0.606168,validation accuracy:0.606607
epoch 25/600,training accuracy:0.608856,validation accuracy:0.609575
epoch 26/600,training accuracy:0.610403,validation accuracy:0.610545
epoch 27/600,training accuracy:0.611994,validation accuracy:0.612189
epoch 28/600,training accuracy:0.613497,validation accuracy:0.613171
epoch 29/600,training accuracy:0.614390,validation accuracy:0.614255
epoch 30/600,training accuracy:0.615847,validation accuracy:0.615370
epoch 31/600,training accuracy:0.616699,validation accuracy:0.615962
epoch 32/600,training accuracy:0.617129,validation accuracy:0.616608
epoch 33/600,training accuracy:0.617975,validation accuracy:0.617039
epoch 34/600,training accuracy:0.618575,validation accuracy:0.617445
epoch 35/600,training accuracy:0.618623,validation accuracy:0.618996
epoch 36/600,training accuracy:0.619347,validation accuracy:0.619425
epoch 37/600,training accuracy:0.620825,validation accuracy:0.621097
epoch 38/600,training accuracy:0.622004,validation accuracy:0.621414
epoch 39/600,training accuracy:0.621763,validation accuracy:0.622619
epoch 40/600,training accuracy:0.622930,validation accuracy:0.622853
epoch 41/600,training accuracy:0.623594,validation accuracy:0.623417
epoch 42/600,training accuracy:0.624736,validation accuracy:0.624253
epoch 43/600,training accuracy:0.625167,validation accuracy:0.624507
epoch 44/600,training accuracy:0.625640,validation accuracy:0.624649
epoch 45/600,training accuracy:0.625446,validation accuracy:0.625631
epoch 46/600,training accuracy:0.626326,validation accuracy:0.625882
epoch 47/600,training accuracy:0.626764,validation accuracy:0.626358
epoch 48/600,training accuracy:0.626875,validation accuracy:0.626792
epoch 49/600,training accuracy:0.627990,validation accuracy:0.627849
epoch 50/600,training accuracy:0.627555,validation accuracy:0.628119
epoch 51/600,training accuracy:0.627857,validation accuracy:0.627941
epoch 52/600,training accuracy:0.628383,validation accuracy:0.628239
epoch 53/600,training accuracy:0.628185,validation accuracy:0.628486
epoch 54/600,training accuracy:0.628318,validation accuracy:0.628164
epoch 55/600,training accuracy:0.629362,validation accuracy:0.628774
epoch 56/600,training accuracy:0.629601,validation accuracy:0.629147
epoch 57/600,training accuracy:0.629633,validation accuracy:0.629354
epoch 58/600,training accuracy:0.629587,validation accuracy:0.629316
epoch 59/600,training accuracy:0.629964,validation accuracy:0.628549
epoch 60/600,training accuracy:0.630091,validation accuracy:0.630237
epoch 61/600,training accuracy:0.630179,validation accuracy:0.629703
epoch 62/600,training accuracy:0.630011,validation accuracy:0.630095
epoch 63/600,training accuracy:0.630624,validation accuracy:0.630100
epoch 64/600,training accuracy:0.630474,validation accuracy:0.630541
epoch 65/600,training accuracy:0.630643,validation accuracy:0.629926
epoch 66/600,training accuracy:0.630923,validation accuracy:0.630267
epoch 67/600,training accuracy:0.631336,validation accuracy:0.630197
epoch 68/600,training accuracy:0.631393,validation accuracy:0.630691
epoch 69/600,training accuracy:0.631160,validation accuracy:0.630103
epoch 70/600,training accuracy:0.631700,validation accuracy:0.631099
epoch 71/600,training accuracy:0.631742,validation accuracy:0.631061
epoch 72/600,training accuracy:0.631841,validation accuracy:0.630454
epoch 73/600,training accuracy:0.631592,validation accuracy:0.630767
epoch 74/600,training accuracy:0.632268,validation accuracy:0.631029
epoch 75/600,training accuracy:0.632192,validation accuracy:0.630614
epoch 76/600,training accuracy:0.631944,validation accuracy:0.631207
epoch 77/600,training accuracy:0.632151,validation accuracy:0.631163
epoch 78/600,training accuracy:0.631899,validation accuracy:0.632010
epoch 79/600,training accuracy:0.632110,validation accuracy:0.632183
epoch 80/600,training accuracy:0.632346,validation accuracy:0.631611
epoch 81/600,training accuracy:0.632646,validation accuracy:0.631947
epoch 82/600,training accuracy:0.632204,validation accuracy:0.631684
epoch 83/600,training accuracy:0.632787,validation accuracy:0.631604
epoch 84/600,training accuracy:0.632140,validation accuracy:0.631450
epoch 85/600,training accuracy:0.632677,validation accuracy:0.632478
epoch 86/600,training accuracy:0.632853,validation accuracy:0.631805
epoch 87/600,training accuracy:0.632961,validation accuracy:0.632322
epoch 88/600,training accuracy:0.633487,validation accuracy:0.632051
epoch 89/600,training accuracy:0.632798,validation accuracy:0.632104
epoch 90/600,training accuracy:0.633205,validation accuracy:0.633001
epoch 91/600,training accuracy:0.633194,validation accuracy:0.632085
epoch 92/600,training accuracy:0.633342,validation accuracy:0.632267
epoch 93/600,training accuracy:0.633194,validation accuracy:0.632980
epoch 94/600,training accuracy:0.633254,validation accuracy:0.633174
epoch 95/600,training accuracy:0.633641,validation accuracy:0.632879
epoch 96/600,training accuracy:0.633301,validation accuracy:0.632784
epoch 97/600,training accuracy:0.633308,validation accuracy:0.633062
epoch 98/600,training accuracy:0.633715,validation accuracy:0.632808
epoch 99/600,training accuracy:0.633653,validation accuracy:0.633134
epoch 100/600,training accuracy:0.634136,validation accuracy:0.633785
epoch 101/600,training accuracy:0.633877,validation accuracy:0.633068
epoch 102/600,training accuracy:0.633497,validation accuracy:0.632909
epoch 103/600,training accuracy:0.633873,validation accuracy:0.633332
epoch 104/600,training accuracy:0.633573,validation accuracy:0.633020
epoch 105/600,training accuracy:0.634209,validation accuracy:0.633774
epoch 106/600,training accuracy:0.633647,validation accuracy:0.633829
epoch 107/600,training accuracy:0.633904,validation accuracy:0.633441
epoch 108/600,training accuracy:0.634169,validation accuracy:0.633599
epoch 109/600,training accuracy:0.634299,validation accuracy:0.634056
epoch 110/600,training accuracy:0.633965,validation accuracy:0.633370
epoch 111/600,training accuracy:0.634483,validation accuracy:0.633722
epoch 112/600,training accuracy:0.634355,validation accuracy:0.633817
epoch 113/600,training accuracy:0.634178,validation accuracy:0.633450
epoch 114/600,training accuracy:0.634450,validation accuracy:0.633589
epoch 115/600,training accuracy:0.634307,validation accuracy:0.633652
epoch 116/600,training accuracy:0.634309,validation accuracy:0.633981
epoch 117/600,training accuracy:0.635004,validation accuracy:0.633691
epoch 118/600,training accuracy:0.634517,validation accuracy:0.633678
epoch 119/600,training accuracy:0.634888,validation accuracy:0.633659
epoch 120/600,training accuracy:0.634777,validation accuracy:0.633767
epoch 121/600,training accuracy:0.634636,validation accuracy:0.634077
epoch 122/600,training accuracy:0.634602,validation accuracy:0.633970
epoch 123/600,training accuracy:0.634802,validation accuracy:0.634258
epoch 124/600,training accuracy:0.634882,validation accuracy:0.634089
epoch 125/600,training accuracy:0.635301,validation accuracy:0.633797
epoch 126/600,training accuracy:0.635144,validation accuracy:0.633790
epoch 127/600,training accuracy:0.635215,validation accuracy:0.634608
epoch 128/600,training accuracy:0.635438,validation accuracy:0.633995
epoch 129/600,training accuracy:0.635163,validation accuracy:0.634567
epoch 130/600,training accuracy:0.635472,validation accuracy:0.634862
epoch 131/600,training accuracy:0.635054,validation accuracy:0.634940
epoch 132/600,training accuracy:0.634740,validation accuracy:0.634060
epoch 133/600,training accuracy:0.635353,validation accuracy:0.634470
epoch 134/600,training accuracy:0.635436,validation accuracy:0.634808
epoch 135/600,training accuracy:0.635350,validation accuracy:0.634341
epoch 136/600,training accuracy:0.635536,validation accuracy:0.633632
epoch 137/600,training accuracy:0.635718,validation accuracy:0.634577
epoch 138/600,training accuracy:0.635086,validation accuracy:0.634066
epoch 139/600,training accuracy:0.635859,validation accuracy:0.634712
epoch 140/600,training accuracy:0.635337,validation accuracy:0.634942
epoch 141/600,training accuracy:0.635451,validation accuracy:0.634762
epoch 142/600,training accuracy:0.636166,validation accuracy:0.634964
epoch 143/600,training accuracy:0.635774,validation accuracy:0.634616
epoch 144/600,training accuracy:0.635897,validation accuracy:0.635120
epoch 145/600,training accuracy:0.636111,validation accuracy:0.634788
epoch 146/600,training accuracy:0.636137,validation accuracy:0.634951
epoch 147/600,training accuracy:0.635921,validation accuracy:0.634819
epoch 148/600,training accuracy:0.636203,validation accuracy:0.635215
epoch 149/600,training accuracy:0.636152,validation accuracy:0.634364
epoch 150/600,training accuracy:0.636009,validation accuracy:0.635230
epoch 151/600,training accuracy:0.636329,validation accuracy:0.635910
epoch 152/600,training accuracy:0.636383,validation accuracy:0.634535
epoch 153/600,training accuracy:0.636293,validation accuracy:0.634933
epoch 154/600,training accuracy:0.636549,validation accuracy:0.634683
epoch 155/600,training accuracy:0.636415,validation accuracy:0.635058
epoch 156/600,training accuracy:0.636066,validation accuracy:0.634968
epoch 157/600,training accuracy:0.636330,validation accuracy:0.635215
epoch 158/600,training accuracy:0.636778,validation accuracy:0.635308
epoch 159/600,training accuracy:0.636120,validation accuracy:0.634604
epoch 160/600,training accuracy:0.636508,validation accuracy:0.635657
epoch 161/600,training accuracy:0.636792,validation accuracy:0.635633
epoch 162/600,training accuracy:0.636191,validation accuracy:0.635383
epoch 163/600,training accuracy:0.636822,validation accuracy:0.635636
epoch 164/600,training accuracy:0.636910,validation accuracy:0.635777
epoch 165/600,training accuracy:0.636802,validation accuracy:0.635704
epoch 166/600,training accuracy:0.636859,validation accuracy:0.635361
epoch 167/600,training accuracy:0.636926,validation accuracy:0.635932
epoch 168/600,training accuracy:0.637310,validation accuracy:0.635578
epoch 169/600,training accuracy:0.637022,validation accuracy:0.635156
epoch 170/600,training accuracy:0.637380,validation accuracy:0.636145
epoch 171/600,training accuracy:0.636858,validation accuracy:0.635493
epoch 172/600,training accuracy:0.637397,validation accuracy:0.635356
epoch 173/600,training accuracy:0.637395,validation accuracy:0.635587
epoch 174/600,training accuracy:0.637094,validation accuracy:0.635966
epoch 175/600,training accuracy:0.637025,validation accuracy:0.635644
epoch 176/600,training accuracy:0.637439,validation accuracy:0.636166
epoch 177/600,training accuracy:0.637287,validation accuracy:0.635337
epoch 178/600,training accuracy:0.637680,validation accuracy:0.636359
epoch 179/600,training accuracy:0.637618,validation accuracy:0.636309
epoch 180/600,training accuracy:0.637356,validation accuracy:0.636077
epoch 181/600,training accuracy:0.637617,validation accuracy:0.636372
epoch 182/600,training accuracy:0.637845,validation accuracy:0.636200
epoch 183/600,training accuracy:0.637745,validation accuracy:0.635341
epoch 184/600,training accuracy:0.637262,validation accuracy:0.636450
epoch 185/600,training accuracy:0.637727,validation accuracy:0.635816
epoch 186/600,training accuracy:0.638040,validation accuracy:0.636487
epoch 187/600,training accuracy:0.637785,validation accuracy:0.636209
epoch 188/600,training accuracy:0.637524,validation accuracy:0.636158
epoch 189/600,training accuracy:0.638130,validation accuracy:0.635579
epoch 190/600,training accuracy:0.638053,validation accuracy:0.635570
epoch 191/600,training accuracy:0.637941,validation accuracy:0.636122
epoch 192/600,training accuracy:0.637870,validation accuracy:0.636331
epoch 193/600,training accuracy:0.638088,validation accuracy:0.636723
epoch 194/600,training accuracy:0.638338,validation accuracy:0.636433
epoch 195/600,training accuracy:0.638438,validation accuracy:0.636924
epoch 196/600,training accuracy:0.638238,validation accuracy:0.636370
epoch 197/600,training accuracy:0.638376,validation accuracy:0.636795
epoch 198/600,training accuracy:0.637856,validation accuracy:0.636407
epoch 199/600,training accuracy:0.638520,validation accuracy:0.636856
epoch 200/600,training accuracy:0.637963,validation accuracy:0.637186
epoch 201/600,training accuracy:0.638226,validation accuracy:0.636963
epoch 202/600,training accuracy:0.638321,validation accuracy:0.637230
epoch 203/600,training accuracy:0.638916,validation accuracy:0.636662
epoch 204/600,training accuracy:0.638735,validation accuracy:0.636899
epoch 205/600,training accuracy:0.638596,validation accuracy:0.637199
epoch 206/600,training accuracy:0.638545,validation accuracy:0.637083
epoch 207/600,training accuracy:0.638745,validation accuracy:0.636865
epoch 208/600,training accuracy:0.638873,validation accuracy:0.637177
epoch 209/600,training accuracy:0.639008,validation accuracy:0.637116
epoch 210/600,training accuracy:0.638659,validation accuracy:0.637368
