epoch 0/800,training accuracy:0.520882,validation accuracy:0.539458
epoch 1/800,training accuracy:0.540271,validation accuracy:0.539475
epoch 2/800,training accuracy:0.540347,validation accuracy:0.539508
epoch 3/800,training accuracy:0.540223,validation accuracy:0.539501
epoch 4/800,training accuracy:0.540302,validation accuracy:0.539502
epoch 5/800,training accuracy:0.540338,validation accuracy:0.539503
epoch 6/800,training accuracy:0.540295,validation accuracy:0.539503
epoch 7/800,training accuracy:0.540300,validation accuracy:0.539504
epoch 8/800,training accuracy:0.540326,validation accuracy:0.539503
epoch 9/800,training accuracy:0.540379,validation accuracy:0.539500
epoch 10/800,training accuracy:0.540261,validation accuracy:0.539508
epoch 11/800,training accuracy:0.540277,validation accuracy:0.539506
epoch 12/800,training accuracy:0.540352,validation accuracy:0.539573
epoch 13/800,training accuracy:0.540499,validation accuracy:0.539717
epoch 14/800,training accuracy:0.540926,validation accuracy:0.540629
epoch 15/800,training accuracy:0.541947,validation accuracy:0.542182
epoch 16/800,training accuracy:0.544335,validation accuracy:0.544887
epoch 17/800,training accuracy:0.548154,validation accuracy:0.550126
epoch 18/800,training accuracy:0.553518,validation accuracy:0.555368
epoch 19/800,training accuracy:0.561163,validation accuracy:0.564188
epoch 20/800,training accuracy:0.568803,validation accuracy:0.572517
epoch 21/800,training accuracy:0.577080,validation accuracy:0.580234
epoch 22/800,training accuracy:0.583977,validation accuracy:0.587150
epoch 23/800,training accuracy:0.589877,validation accuracy:0.592648
epoch 24/800,training accuracy:0.595804,validation accuracy:0.597581
epoch 25/800,training accuracy:0.600956,validation accuracy:0.602142
epoch 26/800,training accuracy:0.604926,validation accuracy:0.605649
epoch 27/800,training accuracy:0.608150,validation accuracy:0.609883
epoch 28/800,training accuracy:0.611365,validation accuracy:0.613026
epoch 29/800,training accuracy:0.613432,validation accuracy:0.614470
epoch 30/800,training accuracy:0.616016,validation accuracy:0.617233
epoch 31/800,training accuracy:0.617247,validation accuracy:0.618629
epoch 32/800,training accuracy:0.618348,validation accuracy:0.620400
epoch 33/800,training accuracy:0.620322,validation accuracy:0.620968
epoch 34/800,training accuracy:0.622100,validation accuracy:0.621995
epoch 35/800,training accuracy:0.622665,validation accuracy:0.622525
epoch 36/800,training accuracy:0.623744,validation accuracy:0.624279
epoch 37/800,training accuracy:0.625147,validation accuracy:0.625272
epoch 38/800,training accuracy:0.625593,validation accuracy:0.626078
epoch 39/800,training accuracy:0.626883,validation accuracy:0.626410
epoch 40/800,training accuracy:0.627206,validation accuracy:0.627916
epoch 41/800,training accuracy:0.628248,validation accuracy:0.628272
epoch 42/800,training accuracy:0.628942,validation accuracy:0.628391
epoch 43/800,training accuracy:0.629684,validation accuracy:0.629602
epoch 44/800,training accuracy:0.630598,validation accuracy:0.629435
epoch 45/800,training accuracy:0.630606,validation accuracy:0.631225
epoch 46/800,training accuracy:0.630950,validation accuracy:0.631045
epoch 47/800,training accuracy:0.631482,validation accuracy:0.631216
epoch 48/800,training accuracy:0.631518,validation accuracy:0.631822
epoch 49/800,training accuracy:0.632109,validation accuracy:0.632117
epoch 50/800,training accuracy:0.633004,validation accuracy:0.632651
epoch 51/800,training accuracy:0.632815,validation accuracy:0.632990
epoch 52/800,training accuracy:0.633178,validation accuracy:0.632430
epoch 53/800,training accuracy:0.633230,validation accuracy:0.633859
epoch 54/800,training accuracy:0.634141,validation accuracy:0.633702
epoch 55/800,training accuracy:0.633937,validation accuracy:0.634109
epoch 56/800,training accuracy:0.634747,validation accuracy:0.634091
epoch 57/800,training accuracy:0.634871,validation accuracy:0.634157
epoch 58/800,training accuracy:0.634991,validation accuracy:0.635085
epoch 59/800,training accuracy:0.634945,validation accuracy:0.634245
epoch 60/800,training accuracy:0.635073,validation accuracy:0.635517
epoch 61/800,training accuracy:0.635119,validation accuracy:0.635487
epoch 62/800,training accuracy:0.635533,validation accuracy:0.635971
epoch 63/800,training accuracy:0.635699,validation accuracy:0.635359
epoch 64/800,training accuracy:0.636069,validation accuracy:0.635715
epoch 65/800,training accuracy:0.636135,validation accuracy:0.635979
epoch 66/800,training accuracy:0.636333,validation accuracy:0.635655
epoch 67/800,training accuracy:0.636606,validation accuracy:0.635566
epoch 68/800,training accuracy:0.636434,validation accuracy:0.635664
epoch 69/800,training accuracy:0.636776,validation accuracy:0.636661
epoch 70/800,training accuracy:0.636786,validation accuracy:0.636306
epoch 71/800,training accuracy:0.636798,validation accuracy:0.636518
epoch 72/800,training accuracy:0.637271,validation accuracy:0.636969
epoch 73/800,training accuracy:0.637332,validation accuracy:0.636799
epoch 74/800,training accuracy:0.637210,validation accuracy:0.637234
epoch 75/800,training accuracy:0.637304,validation accuracy:0.636782
epoch 76/800,training accuracy:0.637224,validation accuracy:0.637015
epoch 77/800,training accuracy:0.637840,validation accuracy:0.637109
epoch 78/800,training accuracy:0.637677,validation accuracy:0.637287
epoch 79/800,training accuracy:0.638563,validation accuracy:0.637458
epoch 80/800,training accuracy:0.637677,validation accuracy:0.637718
epoch 81/800,training accuracy:0.638561,validation accuracy:0.637626
epoch 82/800,training accuracy:0.638025,validation accuracy:0.637521
epoch 83/800,training accuracy:0.638472,validation accuracy:0.637094
epoch 84/800,training accuracy:0.638273,validation accuracy:0.637939
epoch 85/800,training accuracy:0.638626,validation accuracy:0.637594
epoch 86/800,training accuracy:0.638637,validation accuracy:0.638185
epoch 87/800,training accuracy:0.638568,validation accuracy:0.637537
epoch 88/800,training accuracy:0.638337,validation accuracy:0.638580
