epoch 0/600,training accuracy:0.504810,validation accuracy:0.515987
epoch 1/600,training accuracy:0.518173,validation accuracy:0.519061
epoch 2/600,training accuracy:0.520705,validation accuracy:0.520706
epoch 3/600,training accuracy:0.521234,validation accuracy:0.520900
epoch 4/600,training accuracy:0.522558,validation accuracy:0.522297
epoch 5/600,training accuracy:0.522951,validation accuracy:0.522167
epoch 6/600,training accuracy:0.522682,validation accuracy:0.522154
epoch 7/600,training accuracy:0.523551,validation accuracy:0.524047
epoch 8/600,training accuracy:0.525117,validation accuracy:0.524771
epoch 9/600,training accuracy:0.525130,validation accuracy:0.525879
epoch 10/600,training accuracy:0.526386,validation accuracy:0.525358
epoch 11/600,training accuracy:0.528127,validation accuracy:0.527551
epoch 12/600,training accuracy:0.529439,validation accuracy:0.529598
epoch 13/600,training accuracy:0.531320,validation accuracy:0.532642
epoch 14/600,training accuracy:0.532938,validation accuracy:0.531940
epoch 15/600,training accuracy:0.534391,validation accuracy:0.536792
epoch 16/600,training accuracy:0.536188,validation accuracy:0.535961
epoch 17/600,training accuracy:0.538458,validation accuracy:0.538572
epoch 18/600,training accuracy:0.540818,validation accuracy:0.541041
epoch 19/600,training accuracy:0.542489,validation accuracy:0.544140
epoch 20/600,training accuracy:0.544860,validation accuracy:0.545682
epoch 21/600,training accuracy:0.547438,validation accuracy:0.547632
epoch 22/600,training accuracy:0.550359,validation accuracy:0.549881
epoch 23/600,training accuracy:0.552219,validation accuracy:0.554231
epoch 24/600,training accuracy:0.555189,validation accuracy:0.554587
epoch 25/600,training accuracy:0.556685,validation accuracy:0.556084
epoch 26/600,training accuracy:0.559028,validation accuracy:0.559864
epoch 27/600,training accuracy:0.561119,validation accuracy:0.560010
epoch 28/600,training accuracy:0.562733,validation accuracy:0.562012
epoch 29/600,training accuracy:0.563914,validation accuracy:0.563648
epoch 30/600,training accuracy:0.565784,validation accuracy:0.566255
epoch 31/600,training accuracy:0.567996,validation accuracy:0.566888
epoch 32/600,training accuracy:0.567899,validation accuracy:0.568689
epoch 33/600,training accuracy:0.570110,validation accuracy:0.571119
epoch 34/600,training accuracy:0.571716,validation accuracy:0.570678
epoch 35/600,training accuracy:0.573084,validation accuracy:0.572666
epoch 36/600,training accuracy:0.573550,validation accuracy:0.572902
epoch 37/600,training accuracy:0.573693,validation accuracy:0.574080
epoch 38/600,training accuracy:0.574972,validation accuracy:0.575629
epoch 39/600,training accuracy:0.577526,validation accuracy:0.577198
epoch 40/600,training accuracy:0.577579,validation accuracy:0.577853
epoch 41/600,training accuracy:0.578453,validation accuracy:0.577688
epoch 42/600,training accuracy:0.579908,validation accuracy:0.578420
epoch 43/600,training accuracy:0.580088,validation accuracy:0.579657
epoch 44/600,training accuracy:0.580806,validation accuracy:0.581134
epoch 45/600,training accuracy:0.581291,validation accuracy:0.581172
epoch 46/600,training accuracy:0.582672,validation accuracy:0.580912
epoch 47/600,training accuracy:0.583497,validation accuracy:0.581254
epoch 48/600,training accuracy:0.584268,validation accuracy:0.581629
epoch 49/600,training accuracy:0.584189,validation accuracy:0.583351
epoch 50/600,training accuracy:0.585111,validation accuracy:0.583469
epoch 51/600,training accuracy:0.585688,validation accuracy:0.583551
epoch 52/600,training accuracy:0.586345,validation accuracy:0.585202
epoch 53/600,training accuracy:0.586081,validation accuracy:0.583976
epoch 54/600,training accuracy:0.586936,validation accuracy:0.585599
epoch 55/600,training accuracy:0.587075,validation accuracy:0.586258
epoch 56/600,training accuracy:0.587504,validation accuracy:0.587442
epoch 57/600,training accuracy:0.588592,validation accuracy:0.586065
epoch 58/600,training accuracy:0.588750,validation accuracy:0.587622
epoch 59/600,training accuracy:0.588211,validation accuracy:0.587883
epoch 60/600,training accuracy:0.589197,validation accuracy:0.588578
epoch 61/600,training accuracy:0.589722,validation accuracy:0.588313
epoch 62/600,training accuracy:0.590787,validation accuracy:0.589436
epoch 63/600,training accuracy:0.589987,validation accuracy:0.590841
epoch 64/600,training accuracy:0.589730,validation accuracy:0.588959
epoch 65/600,training accuracy:0.590580,validation accuracy:0.589020
epoch 66/600,training accuracy:0.590928,validation accuracy:0.589313
epoch 67/600,training accuracy:0.590982,validation accuracy:0.590184
epoch 68/600,training accuracy:0.591003,validation accuracy:0.591601
epoch 69/600,training accuracy:0.592366,validation accuracy:0.590713
epoch 70/600,training accuracy:0.592162,validation accuracy:0.591945
epoch 71/600,training accuracy:0.592436,validation accuracy:0.591989
epoch 72/600,training accuracy:0.592195,validation accuracy:0.592838
epoch 73/600,training accuracy:0.592464,validation accuracy:0.590896
epoch 74/600,training accuracy:0.593083,validation accuracy:0.591656
epoch 75/600,training accuracy:0.592831,validation accuracy:0.592448
epoch 76/600,training accuracy:0.592947,validation accuracy:0.592587
epoch 77/600,training accuracy:0.593691,validation accuracy:0.591942
epoch 78/600,training accuracy:0.593611,validation accuracy:0.592772
epoch 79/600,training accuracy:0.594690,validation accuracy:0.591836
epoch 80/600,training accuracy:0.594685,validation accuracy:0.593522
epoch 81/600,training accuracy:0.594635,validation accuracy:0.593271
epoch 82/600,training accuracy:0.594599,validation accuracy:0.594387
epoch 83/600,training accuracy:0.595606,validation accuracy:0.593584
epoch 84/600,training accuracy:0.595302,validation accuracy:0.594804
epoch 85/600,training accuracy:0.594789,validation accuracy:0.594354
epoch 86/600,training accuracy:0.595174,validation accuracy:0.595196
epoch 87/600,training accuracy:0.595361,validation accuracy:0.594856
epoch 88/600,training accuracy:0.595722,validation accuracy:0.594748
epoch 89/600,training accuracy:0.596426,validation accuracy:0.595025
epoch 90/600,training accuracy:0.595926,validation accuracy:0.594708
epoch 91/600,training accuracy:0.597182,validation accuracy:0.594111
epoch 92/600,training accuracy:0.596209,validation accuracy:0.595005
epoch 93/600,training accuracy:0.596202,validation accuracy:0.595183
epoch 94/600,training accuracy:0.596757,validation accuracy:0.595424
epoch 95/600,training accuracy:0.597132,validation accuracy:0.594510
epoch 96/600,training accuracy:0.597167,validation accuracy:0.596300
epoch 97/600,training accuracy:0.597487,validation accuracy:0.596508
epoch 98/600,training accuracy:0.597250,validation accuracy:0.595575
epoch 99/600,training accuracy:0.596503,validation accuracy:0.596678
epoch 100/600,training accuracy:0.597145,validation accuracy:0.595615
epoch 101/600,training accuracy:0.597734,validation accuracy:0.596714
epoch 102/600,training accuracy:0.597594,validation accuracy:0.595723
epoch 103/600,training accuracy:0.597475,validation accuracy:0.596813
epoch 104/600,training accuracy:0.597943,validation accuracy:0.597211
epoch 105/600,training accuracy:0.597803,validation accuracy:0.597441
epoch 106/600,training accuracy:0.598627,validation accuracy:0.595031
epoch 107/600,training accuracy:0.598394,validation accuracy:0.596944
epoch 108/600,training accuracy:0.598979,validation accuracy:0.596596
epoch 109/600,training accuracy:0.598311,validation accuracy:0.597401
epoch 110/600,training accuracy:0.599196,validation accuracy:0.597274
epoch 111/600,training accuracy:0.598346,validation accuracy:0.596015
epoch 112/600,training accuracy:0.598533,validation accuracy:0.597016
epoch 113/600,training accuracy:0.598556,validation accuracy:0.597220
epoch 114/600,training accuracy:0.599341,validation accuracy:0.598068
epoch 115/600,training accuracy:0.599314,validation accuracy:0.597536
epoch 116/600,training accuracy:0.599169,validation accuracy:0.597338
epoch 117/600,training accuracy:0.600121,validation accuracy:0.597616
epoch 118/600,training accuracy:0.599464,validation accuracy:0.596946
epoch 119/600,training accuracy:0.599496,validation accuracy:0.597347
epoch 120/600,training accuracy:0.599869,validation accuracy:0.598875
epoch 121/600,training accuracy:0.599496,validation accuracy:0.599387
epoch 122/600,training accuracy:0.599441,validation accuracy:0.598562
epoch 123/600,training accuracy:0.600395,validation accuracy:0.598613
epoch 124/600,training accuracy:0.599688,validation accuracy:0.598433
epoch 125/600,training accuracy:0.600474,validation accuracy:0.599204
epoch 126/600,training accuracy:0.600086,validation accuracy:0.597763
epoch 127/600,training accuracy:0.600069,validation accuracy:0.599020
epoch 128/600,training accuracy:0.600575,validation accuracy:0.597364
epoch 129/600,training accuracy:0.600881,validation accuracy:0.599057
epoch 130/600,training accuracy:0.600427,validation accuracy:0.598562
epoch 131/600,training accuracy:0.600533,validation accuracy:0.598781
epoch 132/600,training accuracy:0.600703,validation accuracy:0.599115
epoch 133/600,training accuracy:0.600639,validation accuracy:0.599321
epoch 134/600,training accuracy:0.600045,validation accuracy:0.599593
epoch 135/600,training accuracy:0.600438,validation accuracy:0.598153
epoch 136/600,training accuracy:0.600625,validation accuracy:0.598396
epoch 137/600,training accuracy:0.600616,validation accuracy:0.598754
epoch 138/600,training accuracy:0.600699,validation accuracy:0.598978
epoch 139/600,training accuracy:0.601493,validation accuracy:0.600058
epoch 140/600,training accuracy:0.600816,validation accuracy:0.599003
epoch 141/600,training accuracy:0.600832,validation accuracy:0.598891
epoch 142/600,training accuracy:0.601108,validation accuracy:0.599813
epoch 143/600,training accuracy:0.601418,validation accuracy:0.599229
epoch 144/600,training accuracy:0.601084,validation accuracy:0.599728
epoch 145/600,training accuracy:0.601375,validation accuracy:0.598970
epoch 146/600,training accuracy:0.601598,validation accuracy:0.599331
epoch 147/600,training accuracy:0.601669,validation accuracy:0.599362
epoch 148/600,training accuracy:0.601018,validation accuracy:0.600129
epoch 149/600,training accuracy:0.601538,validation accuracy:0.599807
epoch 150/600,training accuracy:0.601823,validation accuracy:0.600601
epoch 151/600,training accuracy:0.601975,validation accuracy:0.600179
epoch 152/600,training accuracy:0.601669,validation accuracy:0.599634
epoch 153/600,training accuracy:0.602107,validation accuracy:0.600197
epoch 154/600,training accuracy:0.601600,validation accuracy:0.600323
epoch 155/600,training accuracy:0.602246,validation accuracy:0.600402
epoch 156/600,training accuracy:0.601632,validation accuracy:0.600056
epoch 157/600,training accuracy:0.601883,validation accuracy:0.600639
epoch 158/600,training accuracy:0.602548,validation accuracy:0.600273
epoch 159/600,training accuracy:0.602733,validation accuracy:0.599876
epoch 160/600,training accuracy:0.602067,validation accuracy:0.600875
epoch 161/600,training accuracy:0.601658,validation accuracy:0.600162
epoch 162/600,training accuracy:0.602057,validation accuracy:0.600965
epoch 163/600,training accuracy:0.602554,validation accuracy:0.599621
epoch 164/600,training accuracy:0.602666,validation accuracy:0.601130
epoch 165/600,training accuracy:0.603157,validation accuracy:0.600401
epoch 166/600,training accuracy:0.602925,validation accuracy:0.599207
epoch 167/600,training accuracy:0.603056,validation accuracy:0.601875
epoch 168/600,training accuracy:0.602554,validation accuracy:0.600310
epoch 169/600,training accuracy:0.602245,validation accuracy:0.599666
epoch 170/600,training accuracy:0.602832,validation accuracy:0.599828
epoch 171/600,training accuracy:0.602934,validation accuracy:0.600707
epoch 172/600,training accuracy:0.602409,validation accuracy:0.599674
epoch 173/600,training accuracy:0.602751,validation accuracy:0.600267
epoch 174/600,training accuracy:0.603087,validation accuracy:0.600847
epoch 175/600,training accuracy:0.602787,validation accuracy:0.600439
epoch 176/600,training accuracy:0.602636,validation accuracy:0.600614
epoch 177/600,training accuracy:0.603102,validation accuracy:0.599918
epoch 178/600,training accuracy:0.603423,validation accuracy:0.600838
epoch 179/600,training accuracy:0.602862,validation accuracy:0.600670
epoch 180/600,training accuracy:0.603792,validation accuracy:0.600631
epoch 181/600,training accuracy:0.603434,validation accuracy:0.601312
epoch 182/600,training accuracy:0.603072,validation accuracy:0.601695
epoch 183/600,training accuracy:0.603400,validation accuracy:0.600778
epoch 184/600,training accuracy:0.603380,validation accuracy:0.600925
epoch 185/600,training accuracy:0.603810,validation accuracy:0.601682
epoch 186/600,training accuracy:0.603929,validation accuracy:0.600193
epoch 187/600,training accuracy:0.603399,validation accuracy:0.601283
epoch 188/600,training accuracy:0.603649,validation accuracy:0.601035
epoch 189/600,training accuracy:0.603716,validation accuracy:0.601320
epoch 190/600,training accuracy:0.603312,validation accuracy:0.600802
epoch 191/600,training accuracy:0.604402,validation accuracy:0.600989
epoch 192/600,training accuracy:0.603417,validation accuracy:0.602137
epoch 193/600,training accuracy:0.603762,validation accuracy:0.602444
epoch 194/600,training accuracy:0.603474,validation accuracy:0.600902
epoch 195/600,training accuracy:0.604510,validation accuracy:0.601790
epoch 196/600,training accuracy:0.603593,validation accuracy:0.601301
epoch 197/600,training accuracy:0.603637,validation accuracy:0.600953
epoch 198/600,training accuracy:0.604451,validation accuracy:0.601807
epoch 199/600,training accuracy:0.603924,validation accuracy:0.601462
epoch 200/600,training accuracy:0.603535,validation accuracy:0.601414
epoch 201/600,training accuracy:0.604339,validation accuracy:0.602110
epoch 202/600,training accuracy:0.603725,validation accuracy:0.601802
epoch 203/600,training accuracy:0.604941,validation accuracy:0.603026
epoch 204/600,training accuracy:0.603791,validation accuracy:0.601629
epoch 205/600,training accuracy:0.604517,validation accuracy:0.602484
epoch 206/600,training accuracy:0.604213,validation accuracy:0.600929
epoch 207/600,training accuracy:0.604456,validation accuracy:0.601717
epoch 208/600,training accuracy:0.604458,validation accuracy:0.601533
epoch 209/600,training accuracy:0.604724,validation accuracy:0.601362
epoch 210/600,training accuracy:0.604435,validation accuracy:0.602459
epoch 211/600,training accuracy:0.604832,validation accuracy:0.601961
epoch 212/600,training accuracy:0.604527,validation accuracy:0.602266
epoch 213/600,training accuracy:0.603934,validation accuracy:0.602010
epoch 214/600,training accuracy:0.604626,validation accuracy:0.601732
epoch 215/600,training accuracy:0.604724,validation accuracy:0.602359
epoch 216/600,training accuracy:0.604446,validation accuracy:0.600983
epoch 217/600,training accuracy:0.605094,validation accuracy:0.601864
