epoch 0/400,training accuracy:0.537784,validation accuracy:0.539593
epoch 1/400,training accuracy:0.540320,validation accuracy:0.539583
epoch 2/400,training accuracy:0.540629,validation accuracy:0.540131
epoch 3/400,training accuracy:0.541176,validation accuracy:0.540732
epoch 4/400,training accuracy:0.542112,validation accuracy:0.541804
epoch 5/400,training accuracy:0.544012,validation accuracy:0.545066
epoch 6/400,training accuracy:0.547161,validation accuracy:0.548296
epoch 7/400,training accuracy:0.552590,validation accuracy:0.555662
epoch 8/400,training accuracy:0.560264,validation accuracy:0.563387
epoch 9/400,training accuracy:0.569328,validation accuracy:0.573537
epoch 10/400,training accuracy:0.579529,validation accuracy:0.583331
epoch 11/400,training accuracy:0.587807,validation accuracy:0.591548
epoch 12/400,training accuracy:0.595570,validation accuracy:0.599102
epoch 13/400,training accuracy:0.603213,validation accuracy:0.605587
epoch 14/400,training accuracy:0.607423,validation accuracy:0.609570
epoch 15/400,training accuracy:0.612395,validation accuracy:0.613610
epoch 16/400,training accuracy:0.615999,validation accuracy:0.617012
epoch 17/400,training accuracy:0.618750,validation accuracy:0.619717
epoch 18/400,training accuracy:0.620633,validation accuracy:0.621531
epoch 19/400,training accuracy:0.622959,validation accuracy:0.623503
epoch 20/400,training accuracy:0.624526,validation accuracy:0.625092
epoch 21/400,training accuracy:0.625684,validation accuracy:0.626529
epoch 22/400,training accuracy:0.627025,validation accuracy:0.627234
epoch 23/400,training accuracy:0.627646,validation accuracy:0.627922
epoch 24/400,training accuracy:0.628901,validation accuracy:0.628164
epoch 25/400,training accuracy:0.630349,validation accuracy:0.630036
epoch 26/400,training accuracy:0.630410,validation accuracy:0.630692
epoch 27/400,training accuracy:0.631235,validation accuracy:0.631440
epoch 28/400,training accuracy:0.631500,validation accuracy:0.631457
epoch 29/400,training accuracy:0.632544,validation accuracy:0.632562
epoch 30/400,training accuracy:0.632593,validation accuracy:0.632590
epoch 31/400,training accuracy:0.633279,validation accuracy:0.633199
epoch 32/400,training accuracy:0.633289,validation accuracy:0.633804
epoch 33/400,training accuracy:0.634250,validation accuracy:0.633622
epoch 34/400,training accuracy:0.634077,validation accuracy:0.633671
epoch 35/400,training accuracy:0.634622,validation accuracy:0.635053
epoch 36/400,training accuracy:0.634811,validation accuracy:0.634208
epoch 37/400,training accuracy:0.635180,validation accuracy:0.635233
epoch 38/400,training accuracy:0.635763,validation accuracy:0.635356
epoch 39/400,training accuracy:0.635769,validation accuracy:0.635191
epoch 40/400,training accuracy:0.635845,validation accuracy:0.636136
epoch 41/400,training accuracy:0.636238,validation accuracy:0.636009
epoch 42/400,training accuracy:0.636336,validation accuracy:0.635922
epoch 43/400,training accuracy:0.636677,validation accuracy:0.635894
epoch 44/400,training accuracy:0.636815,validation accuracy:0.636766
epoch 45/400,training accuracy:0.636894,validation accuracy:0.636189
epoch 46/400,training accuracy:0.637401,validation accuracy:0.636600
epoch 47/400,training accuracy:0.637679,validation accuracy:0.636764
epoch 48/400,training accuracy:0.637681,validation accuracy:0.637798
epoch 49/400,training accuracy:0.638188,validation accuracy:0.637410
epoch 50/400,training accuracy:0.638171,validation accuracy:0.637558
epoch 51/400,training accuracy:0.638335,validation accuracy:0.637688
epoch 52/400,training accuracy:0.638239,validation accuracy:0.637729
epoch 53/400,training accuracy:0.638571,validation accuracy:0.638217
epoch 54/400,training accuracy:0.638737,validation accuracy:0.638366
epoch 55/400,training accuracy:0.638640,validation accuracy:0.638095
epoch 56/400,training accuracy:0.639099,validation accuracy:0.638824
epoch 57/400,training accuracy:0.638476,validation accuracy:0.638508
epoch 58/400,training accuracy:0.639358,validation accuracy:0.638696
epoch 59/400,training accuracy:0.639356,validation accuracy:0.638487
epoch 60/400,training accuracy:0.639120,validation accuracy:0.639364
epoch 61/400,training accuracy:0.639360,validation accuracy:0.638681
epoch 62/400,training accuracy:0.639452,validation accuracy:0.639341
epoch 63/400,training accuracy:0.639607,validation accuracy:0.638823
epoch 64/400,training accuracy:0.639628,validation accuracy:0.639176
epoch 65/400,training accuracy:0.639609,validation accuracy:0.639394
epoch 66/400,training accuracy:0.640011,validation accuracy:0.639582
epoch 67/400,training accuracy:0.640154,validation accuracy:0.639646
epoch 68/400,training accuracy:0.640230,validation accuracy:0.639591
epoch 69/400,training accuracy:0.640203,validation accuracy:0.639858
epoch 70/400,training accuracy:0.640091,validation accuracy:0.639545
epoch 71/400,training accuracy:0.640547,validation accuracy:0.639738
epoch 72/400,training accuracy:0.640580,validation accuracy:0.639964
epoch 73/400,training accuracy:0.640441,validation accuracy:0.640241
epoch 74/400,training accuracy:0.640561,validation accuracy:0.640191
epoch 75/400,training accuracy:0.640556,validation accuracy:0.639774
epoch 76/400,training accuracy:0.640535,validation accuracy:0.640287
epoch 77/400,training accuracy:0.640946,validation accuracy:0.640704
epoch 78/400,training accuracy:0.641000,validation accuracy:0.640229
epoch 79/400,training accuracy:0.640743,validation accuracy:0.640488
epoch 80/400,training accuracy:0.640700,validation accuracy:0.640406
epoch 81/400,training accuracy:0.641137,validation accuracy:0.640133
epoch 82/400,training accuracy:0.641085,validation accuracy:0.640299
epoch 83/400,training accuracy:0.641385,validation accuracy:0.640249
epoch 84/400,training accuracy:0.641388,validation accuracy:0.640526
epoch 85/400,training accuracy:0.641305,validation accuracy:0.640429
epoch 86/400,training accuracy:0.641105,validation accuracy:0.640834
epoch 87/400,training accuracy:0.641432,validation accuracy:0.640549
epoch 88/400,training accuracy:0.641550,validation accuracy:0.640535
epoch 89/400,training accuracy:0.641379,validation accuracy:0.640771
epoch 90/400,training accuracy:0.641445,validation accuracy:0.640904
epoch 91/400,training accuracy:0.641322,validation accuracy:0.641012
epoch 92/400,training accuracy:0.642162,validation accuracy:0.641045
epoch 93/400,training accuracy:0.641822,validation accuracy:0.641039
epoch 94/400,training accuracy:0.641973,validation accuracy:0.641524
epoch 95/400,training accuracy:0.642171,validation accuracy:0.640566
epoch 96/400,training accuracy:0.641608,validation accuracy:0.640991
epoch 97/400,training accuracy:0.641544,validation accuracy:0.640872
epoch 98/400,training accuracy:0.641732,validation accuracy:0.641258
epoch 99/400,training accuracy:0.642384,validation accuracy:0.641377
epoch 100/400,training accuracy:0.642598,validation accuracy:0.641594
epoch 101/400,training accuracy:0.642239,validation accuracy:0.641407
epoch 102/400,training accuracy:0.642549,validation accuracy:0.641208
epoch 103/400,training accuracy:0.642432,validation accuracy:0.641535
epoch 104/400,training accuracy:0.642191,validation accuracy:0.641876
epoch 105/400,training accuracy:0.642264,validation accuracy:0.641534
epoch 106/400,training accuracy:0.642610,validation accuracy:0.641610
epoch 107/400,training accuracy:0.642594,validation accuracy:0.641670
epoch 108/400,training accuracy:0.642675,validation accuracy:0.641591
epoch 109/400,training accuracy:0.642985,validation accuracy:0.641962
epoch 110/400,training accuracy:0.642703,validation accuracy:0.641729
epoch 111/400,training accuracy:0.643200,validation accuracy:0.641436
epoch 112/400,training accuracy:0.642810,validation accuracy:0.641497
epoch 113/400,training accuracy:0.643252,validation accuracy:0.642440
epoch 114/400,training accuracy:0.642930,validation accuracy:0.641806
epoch 115/400,training accuracy:0.643194,validation accuracy:0.641925
epoch 116/400,training accuracy:0.643178,validation accuracy:0.642379
epoch 117/400,training accuracy:0.643286,validation accuracy:0.642173
