epoch 0/600,training accuracy:0.540109,validation accuracy:0.539358
epoch 1/600,training accuracy:0.540236,validation accuracy:0.539407
epoch 2/600,training accuracy:0.540263,validation accuracy:0.539488
epoch 3/600,training accuracy:0.540298,validation accuracy:0.539492
epoch 4/600,training accuracy:0.540311,validation accuracy:0.539508
epoch 5/600,training accuracy:0.540315,validation accuracy:0.539529
epoch 6/600,training accuracy:0.540287,validation accuracy:0.539521
epoch 7/600,training accuracy:0.540359,validation accuracy:0.539544
epoch 8/600,training accuracy:0.540304,validation accuracy:0.539516
epoch 9/600,training accuracy:0.540377,validation accuracy:0.539538
epoch 10/600,training accuracy:0.540332,validation accuracy:0.539598
epoch 11/600,training accuracy:0.540439,validation accuracy:0.539731
epoch 12/600,training accuracy:0.540581,validation accuracy:0.539775
epoch 13/600,training accuracy:0.540823,validation accuracy:0.540110
epoch 14/600,training accuracy:0.541177,validation accuracy:0.540959
epoch 15/600,training accuracy:0.542157,validation accuracy:0.541733
epoch 16/600,training accuracy:0.543417,validation accuracy:0.543301
epoch 17/600,training accuracy:0.545429,validation accuracy:0.545933
epoch 18/600,training accuracy:0.548130,validation accuracy:0.549428
epoch 19/600,training accuracy:0.551888,validation accuracy:0.553845
epoch 20/600,training accuracy:0.556737,validation accuracy:0.559787
epoch 21/600,training accuracy:0.563159,validation accuracy:0.565436
epoch 22/600,training accuracy:0.569347,validation accuracy:0.573565
epoch 23/600,training accuracy:0.576275,validation accuracy:0.580430
epoch 24/600,training accuracy:0.583684,validation accuracy:0.586416
epoch 25/600,training accuracy:0.590610,validation accuracy:0.592317
epoch 26/600,training accuracy:0.595560,validation accuracy:0.598475
epoch 27/600,training accuracy:0.601106,validation accuracy:0.602420
epoch 28/600,training accuracy:0.604770,validation accuracy:0.606521
epoch 29/600,training accuracy:0.608397,validation accuracy:0.610294
epoch 30/600,training accuracy:0.611172,validation accuracy:0.612655
epoch 31/600,training accuracy:0.613628,validation accuracy:0.615185
epoch 32/600,training accuracy:0.616067,validation accuracy:0.617420
epoch 33/600,training accuracy:0.618192,validation accuracy:0.619070
epoch 34/600,training accuracy:0.619446,validation accuracy:0.619570
epoch 35/600,training accuracy:0.620829,validation accuracy:0.621674
epoch 36/600,training accuracy:0.622466,validation accuracy:0.622304
epoch 37/600,training accuracy:0.623181,validation accuracy:0.623601
epoch 38/600,training accuracy:0.624058,validation accuracy:0.623981
epoch 39/600,training accuracy:0.624932,validation accuracy:0.624939
epoch 40/600,training accuracy:0.625712,validation accuracy:0.626527
epoch 41/600,training accuracy:0.626738,validation accuracy:0.626458
epoch 42/600,training accuracy:0.627317,validation accuracy:0.627668
epoch 43/600,training accuracy:0.627862,validation accuracy:0.627551
epoch 44/600,training accuracy:0.628442,validation accuracy:0.628641
epoch 45/600,training accuracy:0.629073,validation accuracy:0.628414
epoch 46/600,training accuracy:0.629676,validation accuracy:0.628644
epoch 47/600,training accuracy:0.630083,validation accuracy:0.629102
epoch 48/600,training accuracy:0.630543,validation accuracy:0.630188
epoch 49/600,training accuracy:0.630999,validation accuracy:0.631075
epoch 50/600,training accuracy:0.631075,validation accuracy:0.631086
epoch 51/600,training accuracy:0.632157,validation accuracy:0.631762
epoch 52/600,training accuracy:0.632338,validation accuracy:0.632115
epoch 53/600,training accuracy:0.632530,validation accuracy:0.632247
epoch 54/600,training accuracy:0.632693,validation accuracy:0.632798
epoch 55/600,training accuracy:0.633768,validation accuracy:0.633158
epoch 56/600,training accuracy:0.633563,validation accuracy:0.633342
epoch 57/600,training accuracy:0.633728,validation accuracy:0.633253
epoch 58/600,training accuracy:0.634096,validation accuracy:0.634229
epoch 59/600,training accuracy:0.634122,validation accuracy:0.634608
epoch 60/600,training accuracy:0.634938,validation accuracy:0.633861
epoch 61/600,training accuracy:0.635090,validation accuracy:0.635036
epoch 62/600,training accuracy:0.635221,validation accuracy:0.635258
epoch 63/600,training accuracy:0.635426,validation accuracy:0.635335
epoch 64/600,training accuracy:0.635351,validation accuracy:0.635533
epoch 65/600,training accuracy:0.635399,validation accuracy:0.634929
epoch 66/600,training accuracy:0.635784,validation accuracy:0.635535
epoch 67/600,training accuracy:0.636130,validation accuracy:0.636366
epoch 68/600,training accuracy:0.636769,validation accuracy:0.635499
epoch 69/600,training accuracy:0.636791,validation accuracy:0.635531
epoch 70/600,training accuracy:0.636858,validation accuracy:0.636256
epoch 71/600,training accuracy:0.637151,validation accuracy:0.636616
epoch 72/600,training accuracy:0.636996,validation accuracy:0.636542
epoch 73/600,training accuracy:0.637068,validation accuracy:0.636908
epoch 74/600,training accuracy:0.637064,validation accuracy:0.636589
epoch 75/600,training accuracy:0.637449,validation accuracy:0.636735
epoch 76/600,training accuracy:0.636977,validation accuracy:0.636671
epoch 77/600,training accuracy:0.636664,validation accuracy:0.636671
epoch 78/600,training accuracy:0.637724,validation accuracy:0.637015
epoch 79/600,training accuracy:0.638092,validation accuracy:0.636885
epoch 80/600,training accuracy:0.637749,validation accuracy:0.637355
epoch 81/600,training accuracy:0.638336,validation accuracy:0.637145
epoch 82/600,training accuracy:0.638131,validation accuracy:0.637603
epoch 83/600,training accuracy:0.638285,validation accuracy:0.637603
epoch 84/600,training accuracy:0.637999,validation accuracy:0.637549
epoch 85/600,training accuracy:0.638542,validation accuracy:0.637559
epoch 86/600,training accuracy:0.638470,validation accuracy:0.637809
epoch 87/600,training accuracy:0.638284,validation accuracy:0.637891
epoch 88/600,training accuracy:0.638608,validation accuracy:0.637745
epoch 89/600,training accuracy:0.638800,validation accuracy:0.637529
epoch 90/600,training accuracy:0.638322,validation accuracy:0.638041
epoch 91/600,training accuracy:0.638307,validation accuracy:0.638022
epoch 92/600,training accuracy:0.638835,validation accuracy:0.637886
epoch 93/600,training accuracy:0.639006,validation accuracy:0.637387
epoch 94/600,training accuracy:0.638996,validation accuracy:0.637878
epoch 95/600,training accuracy:0.638866,validation accuracy:0.637610
epoch 96/600,training accuracy:0.638658,validation accuracy:0.638245
epoch 97/600,training accuracy:0.639458,validation accuracy:0.638299
epoch 98/600,training accuracy:0.639165,validation accuracy:0.638302
epoch 99/600,training accuracy:0.639392,validation accuracy:0.638845
epoch 100/600,training accuracy:0.639426,validation accuracy:0.638522
epoch 101/600,training accuracy:0.639283,validation accuracy:0.639143
epoch 102/600,training accuracy:0.639170,validation accuracy:0.638421
epoch 103/600,training accuracy:0.639780,validation accuracy:0.638629
epoch 104/600,training accuracy:0.639693,validation accuracy:0.638580
epoch 105/600,training accuracy:0.640072,validation accuracy:0.638758
epoch 106/600,training accuracy:0.639938,validation accuracy:0.639076
epoch 107/600,training accuracy:0.640010,validation accuracy:0.638337
epoch 108/600,training accuracy:0.640147,validation accuracy:0.639114
epoch 109/600,training accuracy:0.640173,validation accuracy:0.639399
epoch 110/600,training accuracy:0.639492,validation accuracy:0.639742
epoch 111/600,training accuracy:0.640415,validation accuracy:0.639074
epoch 112/600,training accuracy:0.639952,validation accuracy:0.639270
epoch 113/600,training accuracy:0.640345,validation accuracy:0.638963
epoch 114/600,training accuracy:0.640123,validation accuracy:0.639487
epoch 115/600,training accuracy:0.640803,validation accuracy:0.639389
epoch 116/600,training accuracy:0.640414,validation accuracy:0.639993
epoch 117/600,training accuracy:0.640385,validation accuracy:0.639274
epoch 118/600,training accuracy:0.640208,validation accuracy:0.639641
epoch 119/600,training accuracy:0.640791,validation accuracy:0.639584
epoch 120/600,training accuracy:0.640627,validation accuracy:0.639745
