epoch 0/800,training loss:0.690513,validation loss:0.690307
epoch 1/800,training loss:0.690161,validation loss:0.690245
epoch 2/800,training loss:0.690025,validation loss:0.690073
epoch 3/800,training loss:0.689964,validation loss:0.690044
epoch 4/800,training loss:0.689916,validation loss:0.689918
epoch 5/800,training loss:0.689772,validation loss:0.689898
epoch 6/800,training loss:0.689688,validation loss:0.689790
epoch 7/800,training loss:0.689674,validation loss:0.689677
epoch 8/800,training loss:0.689490,validation loss:0.689545
epoch 9/800,training loss:0.689422,validation loss:0.689487
epoch 10/800,training loss:0.689276,validation loss:0.689266
epoch 11/800,training loss:0.689105,validation loss:0.689225
epoch 12/800,training loss:0.688947,validation loss:0.688946
epoch 13/800,training loss:0.688749,validation loss:0.688715
epoch 14/800,training loss:0.688431,validation loss:0.688316
epoch 15/800,training loss:0.688091,validation loss:0.687988
epoch 16/800,training loss:0.687610,validation loss:0.687478
epoch 17/800,training loss:0.687062,validation loss:0.686720
epoch 18/800,training loss:0.686128,validation loss:0.685676
epoch 19/800,training loss:0.685012,validation loss:0.684375
epoch 20/800,training loss:0.683372,validation loss:0.682486
epoch 21/800,training loss:0.681131,validation loss:0.679911
epoch 22/800,training loss:0.678474,validation loss:0.676772
epoch 23/800,training loss:0.674926,validation loss:0.673239
epoch 24/800,training loss:0.671224,validation loss:0.669061
epoch 25/800,training loss:0.667574,validation loss:0.665702
epoch 26/800,training loss:0.664303,validation loss:0.662778
epoch 27/800,training loss:0.661299,validation loss:0.660117
epoch 28/800,training loss:0.658927,validation loss:0.657930
epoch 29/800,training loss:0.657066,validation loss:0.655671
epoch 30/800,training loss:0.655207,validation loss:0.654284
epoch 31/800,training loss:0.653533,validation loss:0.652992
epoch 32/800,training loss:0.652583,validation loss:0.651846
epoch 33/800,training loss:0.651291,validation loss:0.650845
epoch 34/800,training loss:0.650363,validation loss:0.649662
epoch 35/800,training loss:0.649304,validation loss:0.649167
epoch 36/800,training loss:0.648397,validation loss:0.648471
epoch 37/800,training loss:0.647693,validation loss:0.647795
epoch 38/800,training loss:0.647410,validation loss:0.647126
epoch 39/800,training loss:0.646418,validation loss:0.646650
epoch 40/800,training loss:0.646148,validation loss:0.645881
