epoch 0/200,training loss:0.698106,validation loss:0.692764
epoch 1/200,training loss:0.692229,validation loss:0.691699
epoch 2/200,training loss:0.691078,validation loss:0.690732
epoch 3/200,training loss:0.690117,validation loss:0.689743
epoch 4/200,training loss:0.689199,validation loss:0.688811
epoch 5/200,training loss:0.688299,validation loss:0.687762
epoch 6/200,training loss:0.687406,validation loss:0.687001
epoch 7/200,training loss:0.686477,validation loss:0.686090
epoch 8/200,training loss:0.685446,validation loss:0.685282
epoch 9/200,training loss:0.684559,validation loss:0.684192
epoch 10/200,training loss:0.683688,validation loss:0.683084
epoch 11/200,training loss:0.682643,validation loss:0.682415
epoch 12/200,training loss:0.681683,validation loss:0.681190
epoch 13/200,training loss:0.680801,validation loss:0.680636
epoch 14/200,training loss:0.679643,validation loss:0.679463
epoch 15/200,training loss:0.679009,validation loss:0.678933
epoch 16/200,training loss:0.677883,validation loss:0.678087
epoch 17/200,training loss:0.677164,validation loss:0.677230
epoch 18/200,training loss:0.676410,validation loss:0.676240
epoch 19/200,training loss:0.675548,validation loss:0.675914
epoch 20/200,training loss:0.675006,validation loss:0.674956
epoch 21/200,training loss:0.674195,validation loss:0.674274
epoch 22/200,training loss:0.674033,validation loss:0.673973
epoch 23/200,training loss:0.673283,validation loss:0.673377
epoch 24/200,training loss:0.672693,validation loss:0.673070
epoch 25/200,training loss:0.672345,validation loss:0.672702
epoch 26/200,training loss:0.671890,validation loss:0.672056
epoch 27/200,training loss:0.671621,validation loss:0.671678
epoch 28/200,training loss:0.671033,validation loss:0.671997
epoch 29/200,training loss:0.670832,validation loss:0.671365
epoch 30/200,training loss:0.670492,validation loss:0.670722
epoch 31/200,training loss:0.670122,validation loss:0.670658
epoch 32/200,training loss:0.669520,validation loss:0.669858
epoch 33/200,training loss:0.669675,validation loss:0.669848
epoch 34/200,training loss:0.669317,validation loss:0.669651
epoch 35/200,training loss:0.668821,validation loss:0.669210
epoch 36/200,training loss:0.668428,validation loss:0.668947
epoch 37/200,training loss:0.668265,validation loss:0.668865
epoch 38/200,training loss:0.668262,validation loss:0.668504
epoch 39/200,training loss:0.667995,validation loss:0.668545
epoch 40/200,training loss:0.667787,validation loss:0.667788
epoch 41/200,training loss:0.667523,validation loss:0.668254
epoch 42/200,training loss:0.667389,validation loss:0.668259
epoch 43/200,training loss:0.667152,validation loss:0.667376
epoch 44/200,training loss:0.666777,validation loss:0.667949
epoch 45/200,training loss:0.667030,validation loss:0.667422
epoch 46/200,training loss:0.666564,validation loss:0.667184
epoch 47/200,training loss:0.666654,validation loss:0.667170
epoch 48/200,training loss:0.666253,validation loss:0.667135
epoch 49/200,training loss:0.666192,validation loss:0.666568
epoch 50/200,training loss:0.666118,validation loss:0.666518
epoch 51/200,training loss:0.666019,validation loss:0.666363
epoch 52/200,training loss:0.665817,validation loss:0.666403
epoch 53/200,training loss:0.665577,validation loss:0.666544
epoch 54/200,training loss:0.665715,validation loss:0.666032
epoch 55/200,training loss:0.665532,validation loss:0.666029
epoch 56/200,training loss:0.665327,validation loss:0.666214
epoch 57/200,training loss:0.665423,validation loss:0.665967
epoch 58/200,training loss:0.665217,validation loss:0.665741
epoch 59/200,training loss:0.665002,validation loss:0.665906
epoch 60/200,training loss:0.664777,validation loss:0.665557
epoch 61/200,training loss:0.664793,validation loss:0.665222
epoch 62/200,training loss:0.664682,validation loss:0.665202
epoch 63/200,training loss:0.664857,validation loss:0.665181
epoch 64/200,training loss:0.664640,validation loss:0.665401
epoch 65/200,training loss:0.664467,validation loss:0.665243
epoch 66/200,training loss:0.664570,validation loss:0.664694
epoch 67/200,training loss:0.664504,validation loss:0.665004
epoch 68/200,training loss:0.664281,validation loss:0.665180
epoch 69/200,training loss:0.664160,validation loss:0.665276
epoch 70/200,training loss:0.663998,validation loss:0.664809
epoch 71/200,training loss:0.664210,validation loss:0.664905
epoch 72/200,training loss:0.663933,validation loss:0.664808
epoch 73/200,training loss:0.663740,validation loss:0.664463
epoch 74/200,training loss:0.663798,validation loss:0.664404
epoch 75/200,training loss:0.663615,validation loss:0.664339
epoch 76/200,training loss:0.663661,validation loss:0.664233
epoch 77/200,training loss:0.663535,validation loss:0.664224
epoch 78/200,training loss:0.663527,validation loss:0.664047
epoch 79/200,training loss:0.663321,validation loss:0.664320
epoch 80/200,training loss:0.663146,validation loss:0.664223
epoch 81/200,training loss:0.663321,validation loss:0.663953
epoch 82/200,training loss:0.663507,validation loss:0.663966
epoch 83/200,training loss:0.663204,validation loss:0.663927
epoch 84/200,training loss:0.663059,validation loss:0.664042
epoch 85/200,training loss:0.663019,validation loss:0.663865
epoch 86/200,training loss:0.663083,validation loss:0.663888
epoch 87/200,training loss:0.662868,validation loss:0.664173
epoch 88/200,training loss:0.662639,validation loss:0.663800
epoch 89/200,training loss:0.662832,validation loss:0.664088
epoch 90/200,training loss:0.662869,validation loss:0.663831
